@relation tmpv34f85xp

@attribute 146417812 numeric
@attribute -0.0371228 numeric
@attribute -6.4102697 numeric
@attribute 7.4556956 numeric

@data
146417822,-0.093406,-6.345604,7.408993
146417922,-0.237107,-6.156398,7.368277
146417932,-0.301772,-5.892946,7.345525
146417942,-0.319735,-5.883366,7.368277
146417952,-0.316143,-6.070177,7.443721
146417962,-0.207169,-6.222261,7.541916
146417972,-0.182021,-6.544391,7.647297
146417982,-0.180824,-6.597081,7.697593
146417991,-0.185614,-6.637796,7.756271
146418001,-0.286205,-6.444998,7.709568
146418011,-0.227527,-6.206693,7.594607
146418021,-0.286205,-6.1073,7.539522
146418031,-0.338895,-6.015091,7.505991
146418041,-0.325723,-6.036647,7.520361
146418051,-0.35566,-6.086942,7.505991
146418061,-0.440684,-6.176755,7.647297
146418071,-0.410746,-6.124065,7.585027
146418081,-0.613125,-6.124065,7.514374
146418091,-0.664618,-6.125262,7.407795
146418101,-0.687371,-6.176755,7.361093
146418111,-0.690963,-6.301296,7.394623
146418121,-0.602347,-6.471343,7.309599
146418131,-0.505349,-6.377937,7.38145
146418141,-0.422721,-6.345604,7.260502
146418151,-0.286205,-6.262976,7.474856
146418161,-0.134121,-6.265371,7.412585
146418171,-0.192799,-6.148015,7.355105
146418181,-0.249082,-6.006709,7.37187
146418191,-0.300575,-6.109695,7.335945
146418201,-0.371228,-6.130053,7.410191
146418211,-0.335303,-6.283334,7.462881
146418221,-0.361648,-6.460565,7.460486
146418231,-0.353265,-6.740782,7.553892
146418241,-0.226329,-6.878496,7.67005
146418251,-0.100591,-7.06411,7.644902
146418261,0.010778,-7.128776,7.61736
146418271,-0.02395,-6.976692,7.793394
146418281,-0.050295,-6.752758,7.68442
146418291,-0.164059,-6.312074,7.661667
146418301,-0.318538,-6.030659,7.403006
146418311,-0.415536,-5.920488,7.161109
146418321,-0.413141,-6.100115,7.284452
146418331,-0.440684,-6.262976,7.417376
146418341,-0.36045,-6.428232,7.668852
146418351,-0.35087,-6.46775,7.618557
146418361,-0.372426,-6.38632,7.470066
146418371,-0.378413,-6.316864,7.219786
146418381,-0.305365,-6.500083,7.066505
146418391,-0.00958,-6.757547,7.244934
146418401,0.158071,-6.915619,7.420968
146418411,0.237107,-7.08327,7.489226
146418420,0.223934,-7.006629,7.558681
146418430,0.027543,-6.906039,7.577842
146418440,0.027543,-6.707252,7.527546
146418450,0.079036,-6.745573,7.242539
146418460,0.146096,-6.855743,7.326365
146418470,0.249082,-6.855743,7.551496
146418480,0.380808,-6.68929,7.581434
146418490,0.243094,-6.368357,7.634125
146418500,0.092208,-6.101312,7.509584
146418510,0.050295,-5.930068,7.292834
146418520,-0.106578,-5.88576,7.369475
146418530,-0.092208,-6.12167,7.34313
146418540,-0.176034,-6.218668,7.490424
146418550,-0.142504,-6.205496,7.546707
146418560,-0.112566,-6.047424,7.460486
146418570,-0.100591,-5.909711,7.410191
146418580,-0.101788,-5.8187,7.480843
146418590,-0.249082,-5.678591,7.34792
146418600,-0.338895,-5.680986,7.259304
146418610,-0.270637,-5.795947,7.209009
146418620,-0.330513,-6.006709,7.219786
146418630,-0.262255,-6.245013,7.185059
146418640,-0.216749,-6.585106,7.351512
146418650,-0.076641,-6.822213,7.32876
146418660,-0.105381,-6.740782,7.526349
146418670,-0.007185,-6.662944,7.404203
146418680,-0.083826,-6.45817,7.325167
146418690,-0.222737,-6.304889,7.129973
146418700,-0.262255,-6.358777,7.141948
146418710,-0.281415,-6.631809,7.127578
146418720,-0.30297,-6.890471,7.379055
146418730,-0.180824,-7.042555,7.581434
146418740,-0.208367,-6.989864,7.526349
146418750,-0.170046,-6.834188,7.564669
146418760,-0.170046,-6.755153,7.385043
146418770,-0.232317,-6.490503,7.41498
146418780,-0.243094,-6.385122,7.380253
146418790,-0.25986,-6.302494,7.426956
146418800,-0.123344,-6.37195,7.541916
146418810,-0.198787,-6.347999,7.509584
146418820,-0.308958,-6.46775,7.494016
146418830,-0.178429,-6.45338,7.649692
146418840,-0.325723,-6.48212,7.610175
146418850,-0.29339,-6.452183,7.682025
146418859,-0.316143,-6.306087,7.666458
146418869,-0.220342,-6.274951,7.593409
146418879,-0.257465,-6.14083,7.575447
146418889,-0.353265,-6.070177,7.573052
146418899,-0.290995,-6.036647,7.525151
146418909,-0.289797,-6.101312,7.60778
146418919,-0.281415,-6.1073,7.642508
146418929,-0.311353,-6.246211,7.611372
146418939,-0.243094,-6.315667,7.652087
146418949,-0.262255,-6.296506,7.640112
146418959,-0.189207,-6.40069,7.531139
146418969,-0.223934,-6.389912,7.573052
146418979,-0.176034,-6.406677,7.489226
146418989,-0.196392,-6.4438,7.558681
146418999,-0.348475,-6.45338,7.538324
146419009,-0.253872,-6.576724,7.422165
146419019,-0.240699,-6.604266,7.551496
146419029,-0.261057,-6.774313,7.634125
146419039,-0.305365,-6.700067,7.389833
146419049,-0.172441,-6.691685,7.417376
146419059,-0.191602,-6.468948,7.408993
146419069,-0.182021,-6.430627,7.329957
146419079,-0.176034,-6.327642,7.264094
146419089,-0.219144,-6.279741,7.292834
146419099,-0.211959,-6.352789,7.261699
146419109,-0.134121,-6.437812,7.292834
146419119,-0.093406,-6.570736,7.332352
146419129,-0.131726,-6.720425,7.473659
146419139,-0.095801,-6.695277,7.450906
146419149,-0.198787,-6.564749,7.39103
146419159,-0.239502,-6.40548,7.223379
146419169,-0.314945,-6.334827,7.159911
146419179,-0.208367,-6.240223,7.147936
146419189,-0.214354,-6.355185,7.151528
146419199,-0.188009,-6.303691,7.156318
146419209,-0.166454,-6.446195,7.241342
146419219,-0.191602,-6.617439,7.129973
146419229,-0.257465,-6.660549,7.198231
146419239,-0.334105,-6.843768,7.292834
146419249,-0.295785,-6.880891,7.297625
146419259,-0.308958,-6.762338,7.325167
146419269,-0.373623,-6.556366,7.302414
146419279,-0.380808,-6.387517,7.210206
146419289,-0.441881,-6.221063,7.152726
146419299,-0.34129,-6.175558,7.112011
146419309,-0.323328,-6.224656,7.03058
146419319,-0.364043,-6.389912,7.313192
146419329,-0.433499,-6.512058,7.39582
146419339,-0.385598,-6.423442,7.249724
146419349,-0.481399,-6.571934,7.060518
146419359,-0.378413,-6.630611,7.061715
146419369,-0.383203,-6.691685,7.074888
146419378,-0.237107,-7.186256,6.949149
146419388,-0.237107,-7.468868,6.976692
146419398,-0.183219,-7.671247,7.032975
146419408,-0.128134,-7.673643,7.103628
