@relation tmp02ozk5br

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
-2.983218,1.598634,-6.902385,2.726393,-2.384916,5.115081,hand_wash
-2.358063,1.843085,-6.838116,2.730858,-3.101341,5.468866,hand_wash
-3.672728,2.109633,-6.135704,3.145357,0.285016,7.563265,hand_wash
-2.265181,2.53506,-6.826083,4.665739,2.906355,6.413756,hand_wash
-3.771907,1.646225,-6.771068,3.30897,-0.256022,5.702384,hand_wash
-4.42531,2.590139,-7.11712,4.427918,-1.618341,7.007261,hand_wash
-3.874185,1.024982,-6.278355,1.717776,-4.93159,2.851853,hand_wash
-5.152382,1.84856,-6.042559,2.80521,-1.929891,6.60054,hand_wash
-4.712934,1.993491,-6.906676,3.833245,0.449005,6.447863,hand_wash
-2.756069,1.938771,-7.571878,2.848408,-1.946953,5.366114,hand_wash
-4.943385,2.098962,-5.69152,3.543098,-3.376172,7.144297,hand_wash
-4.582622,1.107358,-6.99559,1.700312,-2.820647,3.335606,hand_wash
-3.413587,2.094848,-7.635714,3.723623,1.434538,6.318525,hand_wash
-1.030437,2.990228,-4.861233,2.884452,-2.947103,6.895908,hand_wash
-2.171805,1.952033,-7.108206,2.757339,0.235887,5.911314,hand_wash
-2.57018,1.890384,-7.198826,3.278411,1.086671,6.886911,hand_wash
-1.895702,2.704473,-6.852756,6.903916,3.309206,7.376355,hand_wash
-2.254435,2.22693,-5.394116,6.553402,4.143445,6.995503,hand_wash
-3.474405,1.524239,-7.180391,2.06887,-2.23141,4.394799,hand_wash
-2.175087,2.676151,-7.338468,3.989932,-0.871995,7.75979,hand_wash
-2.569707,0.725864,-7.833511,1.122142,-3.962549,1.583346,hand_wash
-4.005879,2.316254,-5.747405,3.211842,-3.250277,6.718324,hand_wash
-2.869449,1.422763,-7.311754,3.08542,-1.881885,4.383963,hand_wash
-3.196284,2.327958,-6.974406,5.203812,2.497581,5.371942,hand_wash
-4.575704,1.999413,-6.396573,4.593616,1.790683,5.52926,hand_wash
-2.786782,1.579205,-7.369693,2.981745,-1.529006,4.688383,hand_wash
-3.279333,1.191137,-5.652137,1.609964,-5.002962,4.211831,hand_wash
-3.276419,1.637269,-6.701654,1.736494,-4.472986,3.304438,hand_wash
-2.790648,1.788073,-7.193602,2.876959,1.193526,5.629658,hand_wash
-4.145724,2.936807,-5.110372,4.20397,-3.842577,8.007436,hand_wash
-4.771401,2.185106,-6.498024,3.138766,-1.709392,7.554493,hand_wash
-0.803375,1.668045,-8.004603,1.837014,-2.956254,4.043999,hand_wash
-1.062441,1.752392,-7.651632,2.424973,-1.500386,5.64125,hand_wash
-4.267755,1.871465,-6.884846,3.522497,-0.929827,7.618433,hand_wash
-5.243983,1.486439,-5.83547,2.276759,-3.168036,6.136228,hand_wash
-4.582935,2.268157,-6.594498,3.151783,-2.20168,7.033588,hand_wash
-4.296855,2.409398,-6.408557,3.204773,-0.520683,7.739289,hand_wash
-2.533587,0.760039,-7.513653,0.631719,-4.597629,1.064964,hand_wash
-3.365499,0.933552,-6.857241,1.38727,-3.770161,3.720503,hand_wash
-4.644345,1.392703,-6.273447,2.626764,0.341809,5.620116,hand_wash
-3.201533,1.226778,-8.066599,1.90129,-2.567145,2.901602,hand_wash
-3.302497,1.406973,-7.260061,2.286839,-2.434178,4.540473,hand_wash
-3.360454,2.271586,-7.489291,4.516258,0.652745,6.787845,hand_wash
-1.073832,2.259151,-8.244414,2.28344,-3.195248,3.456629,hand_wash
-1.824258,2.672486,-7.188913,2.611795,2.829525,4.912319,not_hand_wash
1.422723,0.580184,-3.480416,1.359602,9.108639,0.692612,not_hand_wash
-0.299418,0.078665,-3.488254,0.083019,9.39716,0.061909,not_hand_wash
-1.926215,1.229336,-4.321624,0.805321,8.729341,0.692445,not_hand_wash
