@relation features_window_size_1000_extra_cols_False_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
3.567863,2.464434,-7.03754,3.951784,2.957002,3.307976,'outdoor walk'
1.09729,7.35825,-6.470998,3.54175,2.998009,3.159233,'outdoor walk'
-10.657206,2.44287,-3.99098,2.535502,2.38183,1.696472,'outdoor walk'
-10.6613,2.07419,-3.825172,2.284163,2.600218,1.594248,'outdoor walk'
-6.836739,8.938299,-4.690201,3.410875,1.931801,2.878722,'outdoor walk'
-12.715615,3.990412,-4.539534,4.056806,2.529615,2.182798,'outdoor walk'
-13.353393,4.724657,-4.360865,4.829098,2.483696,2.265341,'outdoor walk'
-12.698353,4.249152,-4.177528,3.943148,2.809872,2.344347,'outdoor walk'
-12.051963,3.114162,-4.072797,3.538929,2.598087,1.980713,'outdoor walk'
-9.656356,2.157137,-3.179351,1.848897,1.783048,1.512971,'outdoor walk'
-9.791091,1.706698,-1.192187,1.455642,2.096044,1.236758,'outdoor walk'
-9.655338,3.103145,-1.303013,2.01813,2.404692,2.028484,'outdoor walk'
-9.734365,3.011812,-1.229628,1.89386,2.282486,1.729484,'outdoor walk'
-9.759895,3.113392,-1.254315,1.998472,2.38859,1.886583,'outdoor walk'
-9.685584,3.116351,-1.098548,1.900367,2.389638,1.913592,'outdoor walk'
-8.520307,3.630353,-3.040904,3.637146,2.541229,2.503049,'outdoor walk'
-5.612337,2.449824,-7.002763,2.800744,3.659777,2.549079,'outdoor walk'
-6.333806,2.286624,-6.864243,2.609071,2.795261,2.052101,'outdoor walk'
-6.472261,2.3463,-6.803615,2.549318,2.911034,2.087168,'outdoor walk'
-6.385952,1.991575,-6.838077,2.256844,3.127215,1.958037,'outdoor walk'
-6.356563,2.070261,-6.899726,2.378794,2.918901,2.003636,'outdoor walk'
-6.491164,1.963843,-6.902168,2.229505,2.401643,2.063013,'outdoor walk'
-8.046027,4.844351,-6.263921,3.412513,2.269802,2.11863,'outdoor walk'
-10.809481,2.638669,-3.747192,2.680593,2.69698,1.561298,'outdoor walk'
