@relation features_window_size_2000

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
-4.770419,2.057088,-6.122014,2.794496,-1.84436,7.108239,hand_wash
-5.213137,1.496701,-6.050361,2.035753,-3.099487,4.905278,hand_wash
-2.670641,1.753283,-6.870251,2.728816,-2.743128,5.307032,hand_wash
-3.228811,1.581071,-7.041388,2.424055,-2.308163,4.769177,hand_wash
-3.419952,1.26506,-7.018816,1.76875,-3.000785,4.143687,hand_wash
-3.100565,2.383275,-7.069262,2.277764,-2.922296,4.266152,hand_wash
-5.232599,2.019537,-4.264447,3.105304,-4.168293,7.304666,hand_wash
-4.586987,2.420535,-4.543981,4.226891,-3.770106,6.971113,hand_wash
-2.182469,1.944142,-7.455847,2.365036,-1.967282,5.141769,hand_wash
-3.252015,1.320919,-7.66333,2.141237,-2.500661,3.810776,hand_wash
-3.54741,1.335618,-6.845932,2.993014,-1.210115,4.98589,hand_wash
-4.325112,1.937585,-6.010426,2.94569,-1.454234,6.448764,hand_wash
-5.247139,1.359949,-4.985388,2.75147,-2.083564,5.536677,hand_wash
-3.347827,1.773367,-7.518524,3.638659,-0.296206,5.773167,hand_wash
-3.739485,2.029557,-7.155217,4.036359,-0.213687,6.645557,hand_wash
-1.686541,1.560324,-7.919057,1.524542,-3.459402,3.111851,hand_wash
-2.551647,0.743367,-7.673582,0.924507,-4.280089,1.386145,hand_wash
-2.566131,0.792961,-7.636762,1.016123,-4.263197,1.732999,hand_wash
-5.097012,1.923976,-6.235629,2.811736,-2.610462,5.962038,hand_wash
-2.153428,2.659354,-5.781444,2.552357,-3.710045,5.460633,hand_wash
-3.575302,1.398195,-6.490004,1.74008,-4.702288,3.094958,hand_wash
-3.576759,1.150287,-5.965246,1.693932,-4.967276,3.596883,hand_wash
-2.908314,3.255466,-5.574101,3.675317,-4.50754,4.799403,hand_wash
-3.018544,2.266241,-6.798575,4.044744,1.325167,6.271115,hand_wash
-4.288912,1.454788,-6.508988,2.861721,-1.016334,5.327681,hand_wash
-3.676163,1.643339,-7.201424,3.319956,0.782043,5.738493,hand_wash
-2.68491,2.329357,-7.309443,3.546464,-1.391884,7.044403,hand_wash
-2.775816,2.463755,-6.894009,3.350902,1.533885,5.86379,hand_wash
-3.885994,2.276888,-6.685489,4.916702,2.144132,5.462616,hand_wash
-4.946338,1.91592,-6.188863,4.052923,0.71154,5.034058,hand_wash
-5.192756,2.035902,-5.940105,2.733589,-2.63026,6.502932,hand_wash
-4.035333,2.26742,-6.064979,3.188491,-0.815865,6.595798,hand_wash
-4.520747,2.004152,-5.894977,2.846473,-0.756816,6.695077,hand_wash
-3.377213,1.992824,-7.051898,2.291323,-1.29238,5.036919,hand_wash
-4.348356,0.956136,-6.595025,1.492839,-4.039784,3.045137,hand_wash
-3.734501,2.196304,-7.239277,3.393261,-0.748974,6.051464,hand_wash
-4.932658,1.934908,-6.474617,3.386467,-0.740443,6.632181,hand_wash
