@relation features_window_size_3000_extra_cols_True

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {hand_wash,not_hand_wash}

@data
-4.90771,1.901328,-6.16976,2.49297,-2.239886,6.122461,-5.047504,-6.110294,-3.65001,5.263142,6.654385,6.519326,hand_wash
-2.938562,1.722595,-6.973631,2.532273,-2.572556,5.027193,-2.853666,-7.159312,-4.083508,3.406241,7.41916,5.647186,hand_wash
-3.274374,1.400422,-6.980006,2.136915,-2.795496,4.500267,-3.094365,-7.18446,-4.309239,3.561279,7.299787,5.297848,hand_wash
-3.225178,2.142932,-7.106305,2.210948,-2.692001,4.321751,-3.093168,-7.135961,-4.253555,3.8722,7.442302,5.091601,hand_wash
-2.522157,1.803394,-7.659431,2.239819,-2.167236,4.528972,-2.860851,-7.695198,-3.199147,3.100565,7.980205,5.020807,hand_wash
-3.465772,1.364711,-6.983975,2.784494,-1.618136,4.876234,-3.241659,-7.559879,-3.309318,3.724784,7.518598,5.137706,hand_wash
-4.833385,1.83404,-5.239394,2.935087,-2.472468,5.981999,-5.115163,-4.864285,-4.64035,5.169653,6.005496,6.472821,hand_wash
-1.96889,1.405371,-7.783922,1.311119,-3.838811,2.668651,-2.329156,-7.796387,-4.168531,2.419007,7.893572,4.675272,hand_wash
-2.567323,0.771246,-7.702345,1.056728,-4.162981,1.690544,-2.529141,-7.734716,-4.245172,2.680665,7.774497,4.493145,hand_wash
-2.727014,2.392274,-5.947081,2.3198,-4.117226,4.787653,-3.093168,-6.094726,-5.427114,3.627613,6.383513,6.314521,hand_wash
-3.476645,1.340038,-6.210715,1.743154,-4.802513,3.509859,-3.490741,-6.079757,-5.710325,3.725958,6.450703,5.948381,hand_wash
-3.230271,2.760956,-5.808852,3.177909,-4.64889,4.255251,-3.40452,-5.769003,-6.053412,4.249415,6.62132,6.302328,hand_wash
-3.614335,2.112634,-6.614686,3.569082,0.291229,6.004525,-4.02483,-6.874904,-1.042432,4.186483,7.516144,6.011583,hand_wash
-4.362987,2.221312,-6.45071,4.484916,1.306887,5.21753,-4.501439,-6.843769,0.896336,4.895904,7.856598,5.378715,hand_wash
-3.622839,1.712413,-6.766085,2.01954,-2.61456,4.678922,-3.979325,-6.653963,-4.181704,4.007159,7.061052,5.359873,hand_wash
-4.207128,2.191265,-6.840371,3.258446,-1.142613,6.264643,-4.094885,-6.773115,-1.266367,4.743582,7.576816,6.367992,hand_wash
-5.161072,2.039564,-6.129498,3.845043,-0.842244,6.360936,-5.185816,-6.013894,-1.163979,5.549458,7.235683,6.416453,hand_wash
-2.243355,1.9729,-7.641954,2.838476,-2.202046,4.269672,-2.387834,-8.166418,-3.0776,2.987469,8.152079,4.804072,hand_wash
-2.829326,1.4958,-7.277557,3.025855,-1.445797,4.672683,-2.541715,-8.153245,-2.745291,3.200391,7.881537,4.891247,hand_wash
0.76359,3.86081,-3.66138,1.802938,7.975956,1.943295,1.696871,-3.537444,8.667576,3.935597,4.081212,8.20928,not_hand_wash
-1.333035,2.750767,-3.990366,0.977896,8.592199,0.755801,-2.244133,-4.028423,8.82924,3.056747,4.108442,8.625376,not_hand_wash
-2.430442,0.627249,-4.032144,0.457125,8.835565,0.346,-2.252516,-4.06315,8.883127,2.510077,4.057973,8.842337,not_hand_wash
-2.128291,0.725081,-4.150624,0.48196,8.840432,0.40972,-2.228566,-4.076323,8.887918,2.248414,4.178512,8.849922,not_hand_wash
-1.072684,1.64982,-3.248771,1.6904,9.135812,0.779745,-2.19743,-4.058361,8.914263,1.967881,3.662235,9.169027,not_hand_wash
-0.013334,1.585684,-2.968417,1.597075,9.310125,0.763727,0.89933,-3.246449,9.395661,1.58574,3.370779,9.341398,not_hand_wash
0.94041,0.42634,-2.60958,1.273419,9.537847,0.513262,0.943638,-3.215314,9.432784,1.032539,2.903705,9.551647,not_hand_wash
0.940805,0.05,-3.237767,0.04969,9.413727,0.051166,0.940045,-3.236869,9.413624,0.942133,3.238148,9.413866,not_hand_wash
0.941056,0.045208,-3.231041,0.04886,9.416539,0.048915,0.940045,-3.229684,9.416019,0.942141,3.231411,9.416666,not_hand_wash
0.946792,0.047936,-3.227513,0.05582,9.416565,0.049515,0.946033,-3.226091,9.416019,0.948005,3.227996,9.416695,not_hand_wash
0.95313,0.048615,-3.245002,0.062919,9.407793,0.050661,0.953218,-3.245251,9.407637,0.954369,3.245612,9.40793,not_hand_wash
0.956473,0.048802,-3.266967,0.062128,9.397143,0.05029,0.95681,-3.270399,9.396859,0.957717,3.267558,9.397277,not_hand_wash
0.958854,0.046582,-3.289802,0.051695,9.387259,0.049098,0.958008,-3.290757,9.386082,0.959985,3.290208,9.387388,not_hand_wash
0.958072,0.045853,-3.295009,0.051921,9.38377,0.049097,0.958008,-3.294349,9.383686,0.959169,3.295418,9.383898,not_hand_wash
1.868482,2.176251,-3.034412,0.909189,8.75055,2.118667,0.978365,-3.291954,9.383686,2.868325,3.167694,9.003381,not_hand_wash
2.108694,2.101308,-2.593845,0.989307,8.85914,2.156337,1.635798,-2.323169,9.466314,2.976926,2.776105,9.117793,not_hand_wash
2.330662,2.00061,-2.171714,0.859345,8.967952,2.187832,1.664539,-2.015409,9.697434,3.071551,2.335554,9.230968,not_hand_wash
1.638387,0.061458,-2.019122,0.060845,9.706641,0.050272,1.631008,-2.023792,9.707014,1.639539,2.020038,9.706771,not_hand_wash
1.613774,0.046073,-2.041797,0.048052,9.705554,0.048734,1.614243,-2.041754,9.705816,1.614432,2.042362,9.705677,not_hand_wash
1.608894,0.045425,-2.047641,0.048082,9.705146,0.04871,1.609453,-2.048939,9.704619,1.609535,2.048206,9.705268,not_hand_wash
