@relation features_window_size_3000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-1.997351,7.783024,-5.833173,3.64419,2.778947,2.830717,1.236429,-5.643864,2.522554,8.035227,6.877937,3.9668,'outdoor walk'
-6.740405,7.223986,-4.762383,3.08669,2.660019,2.280029,-9.399853,-4.101471,2.586621,9.880235,5.675205,3.50346,'outdoor walk'
-9.385082,5.770735,-4.168785,2.810801,2.304616,2.155537,-10.32433,-3.615282,2.378853,11.017311,5.027859,3.155566,'outdoor walk'
-10.071218,6.269549,-4.351636,3.353418,2.353878,2.299492,-10.860815,-3.855383,2.31299,11.863249,5.493828,3.290654,'outdoor walk'
-10.968582,6.927013,-4.5302,4.141911,2.315037,2.476878,-11.94516,-4.203259,2.0196,12.972791,6.138253,3.390328,'outdoor walk'
-12.922454,4.342801,-4.359309,4.296968,2.607728,2.269706,-12.888199,-3.961961,2.206412,13.632671,6.121071,3.457139,'outdoor walk'
-12.701236,4.119974,-4.20373,4.140658,2.630552,2.206486,-12.485836,-3.727249,2.272874,13.352737,5.900542,3.433421,'outdoor walk'
-11.468891,3.537578,-3.809892,3.270714,2.397002,2.024525,-10.884766,-3.168611,2.025588,12.002079,5.02124,3.137566,'outdoor walk'
-10.499804,2.638619,-2.814778,2.733109,2.15906,1.641135,-9.845326,-2.525548,1.903442,10.826273,3.923374,2.711985,'outdoor walk'
-9.700928,2.394978,-1.891517,2.008654,2.094595,1.645866,-9.590856,-2.016606,1.853146,9.992194,2.759081,2.66387,'outdoor walk'
-9.726932,2.684687,-1.241609,1.80599,2.261074,1.701348,-9.784852,-1.3466,1.866918,10.090627,2.191619,2.829671,'outdoor walk'
-9.716533,3.076777,-1.262319,1.971144,2.358589,1.886255,-9.861493,-1.419049,1.922602,10.192035,2.340696,3.020083,'outdoor walk'
-9.726615,3.081056,-1.194164,1.932702,2.353571,1.845691,-9.831555,-1.311273,1.887275,10.202938,2.271863,2.990965,'outdoor walk'
-9.321929,3.344198,-1.797922,2.778714,2.439819,2.121455,-9.359737,-1.616039,1.941163,9.903636,3.309649,3.233154,'outdoor walk'
-7.939409,3.544695,-3.714071,3.77686,2.863548,2.407444,-7.58323,-3.04407,2.419568,8.694773,5.297074,3.741082,'outdoor walk'
-6.82215,3.108891,-5.63597,3.558623,2.998756,2.426374,-6.574927,-5.307962,2.739304,7.497129,6.66543,3.857438,'outdoor walk'
-6.139468,2.391777,-6.890207,2.656519,3.122024,2.273445,-6.268365,-6.425239,3.009342,6.588905,7.384582,3.86207,'outdoor walk'
-6.39734,2.214341,-6.835311,2.476655,2.944503,2.037815,-6.463559,-6.315666,2.984194,6.769732,7.270165,3.580893,'outdoor walk'
-6.404925,2.142017,-6.847139,2.398317,2.985717,2.019472,-6.450387,-6.384524,3.071612,6.753614,7.255014,3.604549,'outdoor walk'
-6.411226,2.009896,-6.87999,2.289493,2.81592,2.031718,-6.374943,-6.397097,2.971022,6.718892,7.250934,3.47236,'outdoor walk'
-6.964585,3.335353,-6.688605,2.741358,2.530115,2.081234,-6.398294,-6.416257,2.580035,7.722047,7.228588,3.276128,'outdoor walk'
-8.448891,3.823365,-5.637761,3.128715,2.456142,1.938897,-7.965236,-5.546865,2.442321,9.27372,6.447728,3.12921,'outdoor walk'
-8.821949,5.603207,-4.767451,3.114495,2.429025,1.791567,-9.285491,-4.508025,2.307003,10.450967,5.694617,3.018257,'outdoor walk'
-9.688917,5.356631,-3.866951,2.68374,2.599711,1.720045,-10.002799,-3.675158,2.417174,11.071071,4.706992,3.117219,'outdoor walk'
-10.440498,6.575816,-4.089725,3.774217,2.444511,2.006454,-10.357262,-3.762576,2.226171,12.338774,5.56512,3.162514,'outdoor walk'
-11.837406,5.101241,-3.979266,4.000738,2.541784,1.987402,-11.03146,-3.583548,2.308799,12.889796,5.642735,3.22652,'outdoor walk'
-11.914817,4.9634,-4.034047,4.014121,2.521487,1.875141,-10.93506,-3.690725,2.314188,12.907292,5.690931,3.142301,'outdoor walk'
-11.240863,3.950467,-4.009052,3.272456,2.650976,1.6115,-10.606942,-3.820056,2.43334,11.91483,5.175081,3.102354,'outdoor walk'
-11.002967,3.761884,-3.968755,3.169198,2.678237,1.63361,-10.429113,-3.749403,2.46208,11.628287,5.078862,3.137138,'outdoor walk'
-9.917775,5.887691,-3.974564,3.374818,2.585655,1.994672,-10.178833,-3.679349,2.444117,11.533741,5.214073,3.265628,'outdoor walk'
-7.561913,7.277474,-4.062422,2.953413,2.173865,2.13047,-8.961564,-3.860173,2.169289,10.494959,5.022542,3.043779,'outdoor walk'
-5.686011,6.882261,-4.951479,2.793678,1.678384,2.03072,-8.200547,-5.05409,1.853146,8.927275,5.685224,2.634539,'outdoor walk'
-2.928175,5.502502,-6.749612,2.447779,0.391969,1.876322,0.240699,-6.651568,0.318538,6.233116,7.179756,1.916826,'outdoor walk'
-1.430299,3.673447,-8.224582,1.66069,-0.733549,1.611916,0.434696,-9.018446,-1.714834,3.942076,8.390568,1.770979,'outdoor walk'
0.421416,0.359454,-9.099299,0.148713,-1.698745,0.492755,0.417332,-9.083112,-1.777105,0.553894,9.100514,1.768769,'outdoor walk'
1.27538,2.72526,-7.97684,3.069342,-0.915281,2.126341,0.280816,-9.078321,-1.710044,3.008926,8.546978,2.314965,'outdoor walk'
3.80089,4.078524,-6.040465,3.862767,0.527573,2.612753,0.648452,-9.024433,-1.525627,5.575045,7.169951,2.665485,'outdoor walk'
3.962728,5.736377,-4.769334,3.511818,1.388006,2.493593,6.778504,-4.694238,1.872307,6.972032,5.922788,2.853869,'outdoor walk'
-0.260037,8.333007,-3.344294,2.561169,2.157417,1.981419,5.821694,-2.218986,3.153043,8.337063,4.212349,2.929244,'outdoor walk'
