mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-4.771401,2.185106,-6.498024,3.138766,-1.709392,7.554493,hand_wash
-2.358063,1.843085,-6.838116,2.730858,-3.101341,5.468866,hand_wash
-4.943385,2.098962,-5.69152,3.543098,-3.376172,7.144297,hand_wash
-3.672728,2.109633,-6.135704,3.145357,0.285016,7.563265,hand_wash
-2.57018,1.890384,-7.198826,3.278411,1.086671,6.886911,hand_wash
-3.060562,3.117467,-7.55296,4.865593,-0.195268,6.541054,hand_wash
-4.582622,1.107358,-6.99559,1.700312,-2.820647,3.335606,hand_wash
-1.073832,2.259151,-8.244414,2.28344,-3.195248,3.456629,hand_wash
-3.767751,2.707632,-6.529453,4.02661,-2.08726,9.330415,hand_wash
-1.030437,2.990228,-4.861233,2.884452,-2.947103,6.895908,hand_wash
-3.201533,1.226778,-8.066599,1.90129,-2.567145,2.901602,hand_wash
-2.983218,1.598634,-6.902385,2.726393,-2.384916,5.115081,hand_wash
-3.874185,1.024982,-6.278355,1.717776,-4.93159,2.851853,hand_wash
-4.267755,1.871465,-6.884846,3.522497,-0.929827,7.618433,hand_wash
-1.895702,2.704473,-6.852756,6.903916,3.309206,7.376355,hand_wash
-2.869449,1.422763,-7.311754,3.08542,-1.881885,4.383963,hand_wash
-3.771907,1.646225,-6.771068,3.30897,-0.256022,5.702384,hand_wash
-2.254435,2.22693,-5.394116,6.553402,4.143445,6.995503,hand_wash
-2.786782,1.579205,-7.369693,2.981745,-1.529006,4.688383,hand_wash
-2.756069,1.938771,-7.571878,2.848408,-1.946953,5.366114,hand_wash
-2.175087,2.676151,-7.338468,3.989932,-0.871995,7.75979,hand_wash
-3.360454,2.271586,-7.489291,4.516258,0.652745,6.787845,hand_wash
-3.279333,1.191137,-5.652137,1.609964,-5.002962,4.211831,hand_wash
-4.42531,2.590139,-7.11712,4.427918,-1.618341,7.007261,hand_wash
-2.790648,1.788073,-7.193602,2.876959,1.193526,5.629658,hand_wash
-2.533587,0.760039,-7.513653,0.631719,-4.597629,1.064964,hand_wash
-3.136276,1.784424,-6.117956,4.464501,2.408373,5.487511,hand_wash
-2.171805,1.952033,-7.108206,2.757339,0.235887,5.911314,hand_wash
-2.265181,2.53506,-6.826083,4.665739,2.906355,6.413756,hand_wash
-3.474405,1.524239,-7.180391,2.06887,-2.23141,4.394799,hand_wash
-4.712934,1.993491,-6.906676,3.833245,0.449005,6.447863,hand_wash
-3.43798,2.484646,-7.401529,5.086763,0.879026,8.007711,hand_wash
-4.575704,1.999413,-6.396573,4.593616,1.790683,5.52926,hand_wash
-3.196284,2.327958,-6.974406,5.203812,2.497581,5.371942,hand_wash
-4.429342,2.503548,-7.461894,3.745477,-1.609935,7.318643,hand_wash
-4.07751,2.169856,-6.779621,3.131806,-2.102281,7.274034,hand_wash
-4.582935,2.268157,-6.594498,3.151783,-2.20168,7.033588,hand_wash
-3.276419,1.637269,-6.701654,1.736494,-4.472986,3.304438,hand_wash
-3.413587,2.094848,-7.635714,3.723623,1.434538,6.318525,hand_wash
-5.023264,2.39873,-4.974804,3.346547,-2.930672,9.170463,hand_wash
-4.145724,2.936807,-5.110372,4.20397,-3.842577,8.007436,hand_wash
-3.498757,2.199575,-6.746764,3.593841,1.34984,8.221088,hand_wash
-5.243983,1.486439,-5.83547,2.276759,-3.168036,6.136228,hand_wash
-2.569707,0.725864,-7.833511,1.122142,-3.962549,1.583346,hand_wash
-4.296855,2.409398,-6.408557,3.204773,-0.520683,7.739289,hand_wash
-0.803375,1.668045,-8.004603,1.837014,-2.956254,4.043999,hand_wash
-3.365499,0.933552,-6.857241,1.38727,-3.770161,3.720503,hand_wash
-4.005879,2.316254,-5.747405,3.211842,-3.250277,6.718324,hand_wash
-3.302497,1.406973,-7.260061,2.286839,-2.434178,4.540473,hand_wash
-1.062441,1.752392,-7.651632,2.424973,-1.500386,5.64125,hand_wash
-4.644345,1.392703,-6.273447,2.626764,0.341809,5.620116,hand_wash
-4.515369,3.454049,-5.9914,5.808337,-0.786148,8.351685,hand_wash
-5.152382,1.84856,-6.042559,2.80521,-1.929891,6.60054,hand_wash
0.302693,1.168262,-4.417372,3.771503,4.35556,6.530674,not_hand_wash
-0.956491,3.052688,-3.865063,1.222702,8.178531,2.750894,not_hand_wash
-6.554404,3.982942,-4.225234,2.692138,-1.014042,3.585862,not_hand_wash
-1.926215,1.229336,-4.321624,0.805321,8.729341,0.692445,not_hand_wash
-2.995819,2.36473,4.002669,2.631636,8.363236,1.52908,not_hand_wash
-1.824258,2.672486,-7.188913,2.611795,2.829525,4.912319,not_hand_wash
-0.691315,0.17771,-2.946542,0.520145,9.596028,0.192208,not_hand_wash
1.613072,0.045521,-2.041886,0.048243,9.706005,0.048246,not_hand_wash
0.959367,0.046661,-3.30303,0.049497,9.382931,0.050087,not_hand_wash
-5.30801,4.253566,-1.812663,2.651886,5.914131,4.570233,not_hand_wash
-8.734818,1.639084,-1.694073,3.784267,1.439031,1.839879,not_hand_wash
-3.160168,4.544749,-7.048162,2.772455,1.191817,2.399506,not_hand_wash
2.934152,0.573305,-8.285278,0.432072,3.061799,0.945587,not_hand_wash
-5.372972,7.895959,-3.159458,2.873745,2.32183,2.46337,not_hand_wash
-1.284757,3.991092,-4.532104,4.112079,5.488111,4.410203,not_hand_wash
2.344368,0.136745,-3.183952,0.286465,9.135111,0.167748,not_hand_wash
3.715511,0.144561,-8.362341,0.177859,1.157133,0.90307,not_hand_wash
2.260718,1.210829,-7.848866,1.872835,2.07039,4.217074,not_hand_wash
-0.303991,3.221078,-5.470826,4.233736,5.47543,3.33651,not_hand_wash
1.680004,0.067373,-1.981328,0.065029,9.708701,0.053385,not_hand_wash
0.085667,1.393553,-2.097514,0.95245,9.740186,0.591836,not_hand_wash
3.109309,0.252095,-8.523052,0.249804,1.883549,0.806845,not_hand_wash
2.236846,0.095627,-3.320195,0.11096,9.106722,0.082256,not_hand_wash
1.622083,0.045621,-2.034151,0.048759,9.705217,0.048966,not_hand_wash
3.689899,3.037718,-2.499663,1.430417,7.489937,3.32833,not_hand_wash
-1.760796,2.70814,-5.937402,3.638135,2.97716,5.67129,not_hand_wash
-1.684662,2.342965,-7.522093,2.569275,4.823559,2.590298,not_hand_wash
-0.955964,0.425289,-2.409179,1.348316,9.693282,0.57454,not_hand_wash
0.766273,2.79798,-6.56916,2.485838,5.110197,4.284359,not_hand_wash
-2.230162,0.048064,-4.076795,0.045105,8.890169,0.051228,not_hand_wash
1.606167,0.045689,-2.049354,0.045897,9.705442,0.048984,not_hand_wash
4.228401,1.609007,-7.940298,0.795277,-0.824593,0.585188,not_hand_wash
-0.432975,2.054435,-5.546305,1.831807,6.084415,4.714414,not_hand_wash
-1.81996,3.107948,2.55996,3.698236,7.438352,4.26077,not_hand_wash
4.594959,0.315394,-7.692453,0.351386,2.264801,1.20503,not_hand_wash
-9.344589,3.097721,-2.697746,2.937809,-0.196897,3.228619,not_hand_wash
-0.299418,0.078665,-3.488254,0.083019,9.39716,0.061909,not_hand_wash
0.952225,0.05278,-3.234527,0.068529,9.41258,0.050346,not_hand_wash
-0.242952,0.042371,-4.251351,0.04442,8.998311,0.049253,not_hand_wash
-0.312334,3.601214,0.610999,5.03161,6.180287,5.087686,not_hand_wash
0.958524,0.046382,-3.284923,0.048297,9.389251,0.047618,not_hand_wash
-2.832669,0.965886,-3.966183,0.7848,8.714738,0.575874,not_hand_wash
-2.787333,3.561762,-5.251613,1.775152,-4.034695,5.244515,not_hand_wash
1.607443,0.044762,-2.051684,0.049491,9.70399,0.048875,not_hand_wash
0.938324,0.734652,-1.347895,1.5722,9.787925,0.83132,not_hand_wash
-2.804231,4.363507,-5.226117,2.825315,1.158379,5.931748,not_hand_wash
4.06138,2.628582,-3.066497,2.521944,7.053059,2.912828,not_hand_wash
-2.228495,0.048962,-4.053453,0.04633,8.901787,0.054094,not_hand_wash
0.95867,0.046698,-3.281452,0.054463,9.389596,0.049269,not_hand_wash
-0.315686,3.48125,-6.308032,2.962418,5.820719,3.355101,not_hand_wash
1.062058,3.602444,-3.95146,1.498234,8.160071,1.039978,not_hand_wash
-1.211723,0.509248,-1.41608,1.386972,9.909737,0.316678,not_hand_wash
1.591336,0.046185,-2.060354,0.047403,9.7025,0.048672,not_hand_wash
