accuracy,cols
73.91,mean_x
80.43,std_x
75.00,mean_y
72.83,std_y
61.96,mean_z
75.00,std_z
78.26,median_x
69.57,median_y
79.35,median_z
69.57,rms_x
72.83,rms_y
77.17,rms_z
95.65,std_x mean_x
88.04,std_x mean_y
89.13,std_x std_y
88.04,std_x mean_z
92.39,std_x std_z
88.04,std_x median_x
86.96,std_x median_y
85.87,std_x median_z
90.22,std_x rms_x
90.22,std_x rms_y
90.22,std_x rms_z
100.00,std_x mean_x mean_y
93.48,std_x mean_x std_y
97.83,std_x mean_x mean_z
97.83,std_x mean_x std_z
94.57,std_x mean_x median_x
96.74,std_x mean_x median_y
96.74,std_x mean_x median_z
93.48,std_x mean_x rms_x
96.74,std_x mean_x rms_y
96.74,std_x mean_x rms_z
97.83,std_x mean_x mean_y std_y
95.65,std_x mean_x mean_y mean_z
100.00,std_x mean_x mean_y std_z
95.65,std_x mean_x mean_y median_x
100.00,std_x mean_x mean_y median_y
95.65,std_x mean_x mean_y median_z
97.83,std_x mean_x mean_y rms_x
94.57,std_x mean_x mean_y rms_y
93.48,std_x mean_x mean_y rms_z
95.65,std_x mean_x mean_y std_y
96.74,std_x mean_x mean_y mean_z
97.83,std_x mean_x mean_y std_z
96.74,std_x mean_x mean_y median_x
98.91,std_x mean_x mean_y median_y
97.83,std_x mean_x mean_y median_z
95.65,std_x mean_x mean_y rms_x
96.74,std_x mean_x mean_y rms_y
92.39,std_x mean_x mean_y rms_z
97.83,std_x mean_x mean_y
96.74,std_x mean_x std_y
97.83,std_x mean_x mean_z
98.91,std_x mean_x std_z
94.57,std_x mean_x median_x
96.74,std_x mean_x median_y
92.39,std_x mean_x median_z
92.39,std_x mean_x rms_x
97.83,std_x mean_x rms_y
96.74,std_x mean_x rms_z
100.00,std_x mean_x std_z mean_y
96.74,std_x mean_x std_z std_y
95.65,std_x mean_x std_z mean_z
93.48,std_x mean_x std_z median_x
97.83,std_x mean_x std_z median_y
94.57,std_x mean_x std_z median_z
96.74,std_x mean_x std_z rms_x
95.65,std_x mean_x std_z rms_y
95.65,std_x mean_x std_z rms_z
94.57,std_x mean_x std_z mean_y std_y
98.91,std_x mean_x std_z mean_y mean_z
96.74,std_x mean_x std_z mean_y median_x
100.00,std_x mean_x std_z mean_y median_y
96.74,std_x mean_x std_z mean_y median_z
96.74,std_x mean_x std_z mean_y rms_x
95.65,std_x mean_x std_z mean_y rms_y
93.48,std_x mean_x std_z mean_y rms_z
94.57,std_x mean_x std_z mean_y std_y
98.91,std_x mean_x std_z mean_y mean_z
96.74,std_x mean_x std_z mean_y median_x
97.83,std_x mean_x std_z mean_y median_y
97.83,std_x mean_x std_z mean_y median_z
93.48,std_x mean_x std_z mean_y rms_x
96.74,std_x mean_x std_z mean_y rms_y
94.57,std_x mean_x std_z mean_y rms_z
